match_id,side,lineup_strength,known_share
28875,a,0.21285192208430334,1.0
28875,h,0.15017391746546688,0.45454545454545453
28876,a,0.2431916681359626,0.998991935483871
28876,h,0.23787899891143482,1.0
28877,a,0.27196772431615795,1.0
28877,h,0.21583855355065376,0.8183652875882946
28878,a,0.2927616691131343,0.8888888888888888
28878,h,0.23209270150826222,1.0
28879,a,0.31083243855197207,1.0
28879,h,0.2772687315700013,0.8335015136226034
28880,a,0.16024624308002844,0.9090909090909091
28880,h,0.26539788050821345,0.9777777777777777
28881,a,0.25053256036447796,0.9808080808080808
28881,h,0.24893601535273271,1.0
28882,a,0.24309186828781418,0.9091826437941474
28882,h,0.21297524924680628,1.0
28883,a,0.376497917398013,1.0
28883,h,0.3393093090877422,1.0
28884,a,0.22491821650174926,0.6202020202020202
28884,h,0.2004107944785113,0.9364278506559032
28885,a,0.3346852137463948,1.0
28885,h,0.1589240655758628,0.45408678102926336
28886,a,0.31598426513212835,0.9090909090909091
28886,h,0.29220511469591803,1.0
28887,a,0.14956105921693916,0.45454545454545453
28887,h,0.2155660430222321,0.8414141414141414
28888,a,0.17212640330407702,0.8181818181818182
28888,h,0.2488805483036585,0.9101010101010101
28889,a,0.22660002210923405,1.0
28889,h,0.3364299201352902,1.0
28890,a,0.2530161519130351,0.9030303030303031
28890,h,0.2678725394101438,0.9092741935483871
28891,a,0.2754610986295063,1.0
28891,h,0.14790490457461677,0.45454545454545453
28892,a,0.15080168721265455,0.45463709677419356
28892,h,0.2532202623147871,0.9334677419354839
28893,a,0.2464093084277896,1.0
28893,h,0.2532298111827402,0.4727272727272727
28894,a,0.19345754972618784,0.9092741935483871
28894,h,0.3909427105399941,0.9929292929292929
28895,a,0.21814385216795917,1.0
28895,h,0.3045907520306169,0.9090909090909091
28896,a,0.3392999996291175,1.0
28896,h,0.3038059307779126,1.0
28897,a,0.28820129636802416,1.0
28897,h,0.16941846289269774,0.8272727272727273
28898,a,0.1708548652018201,0.798183652875883
28898,h,0.23322868050913928,1.0
28899,a,0.15352141057968297,0.4
28899,h,0.28885078147565707,0.8335015136226034
28900,a,0.33428748959816756,0.9868686868686869
28900,h,0.23677950724706592,0.9455709711846318
28901,a,0.318503996960486,0.9092741935483871
28901,h,0.28575946222165177,1.0
28902,a,0.2800802523906458,1.0
28902,h,0.22519445583514427,1.0
28903,a,0.25015723457548067,0.35519677093844604
28903,h,0.311869082449004,1.0
28904,a,0.24879199400588914,0.8898989898989899
28904,h,0.18232345331318509,0.9222222222222223
28905,a,0.26199701940200626,0.997979797979798
28905,h,0.1479322938976356,0.45509586276488395
28906,a,0.26945686415388787,0.9939455095862765
28906,h,0.2180719790465603,1.0
28907,a,0.32036046294135917,1.0
28907,h,0.1899459165042945,0.8182741116751269
28908,a,0.24204259369562145,1.0
28908,h,0.2654901641218203,0.8444444444444444
28909,a,0.23942387914044613,0.9737373737373738
28909,h,0.30746828383634944,0.9959595959595959
28910,a,0.2552618779060054,1.0
28910,h,0.2251991383046524,0.8808080808080808
28911,a,0.22632192781342447,1.0
28911,h,0.20237724503298177,0.296969696969697
28912,a,0.31511393488325257,1.0
28912,h,0.2468454348078533,0.9949494949494949
28913,a,0.2856826045198299,0.9505050505050505
28913,h,0.24911075352961495,0.5453629032258065
28914,a,0.14604877643810776,0.45408678102926336
28914,h,0.3526266144839005,1.0
28915,a,0.19039875937959352,0.8181818181818182
28915,h,0.3301095901756049,0.9090909090909091
28916,a,0.229905164238061,1.0
28916,h,0.2886729341099426,1.0
28917,a,0.18841416674717487,0.9091826437941474
28917,h,0.1710097606247668,0.8183652875882946
28918,a,0.276492610927421,0.990909090909091
28918,h,0.2736378603363068,1.0
28919,a,0.3217277051566246,0.9565656565656566
28919,h,0.22818216998297064,1.0
28920,a,0.18254089753686395,0.8838383838383839
28920,h,0.2569396042923403,0.9030303030303031
28921,a,0.1849968248702053,0.8686868686868687
28921,h,0.23788545632299357,1.0
28922,a,0.24808316626414872,1.0
28922,h,0.23404703173963526,0.9798387096774194
28923,a,0.34577666502252935,1.0
28923,h,0.22476069878444707,0.501008064516129
28924,a,0.17334813730209508,0.45408678102926336
28924,h,0.3308758997699456,1.0
28925,a,0.20115214271799448,0.47619047619047616
28925,h,0.2813907434379394,1.0
28926,a,0.2661032935885155,0.8980827447023209
28926,h,0.2517511036120235,1.0
28927,a,0.33259934254575835,0.9090909090909091
28927,h,0.17324942193961806,0.798989898989899
28928,a,0.14563729452031715,0.8859737638748738
28928,h,0.32734156622234334,0.9141414141414141
28929,a,0.23115179652518103,0.532258064516129
28929,h,0.23467672129307401,0.8444444444444444
28930,a,0.24075201974903765,1.0
28930,h,0.176498396086987,0.42727272727272725
28931,a,0.21827278843858602,1.0
28931,h,0.2847924701438682,0.9939393939393939
28932,a,0.3407140761345791,1.0
28932,h,0.2740370858897616,1.0
28933,a,0.2501828092388604,0.9949545913218971
28933,h,0.3524687906753406,1.0
28934,a,0.26559582077601274,0.9929435483870968
28934,h,0.3349580447560492,0.9092741935483871
28935,a,0.2568199318453869,1.0
28935,h,0.19411386596064084,0.8213925327951564
28936,a,0.2839720662784742,1.0
28936,h,0.14803337305027323,0.45454545454545453
28937,a,0.23839879251427648,1.0
28937,h,0.2035083428160313,0.8177240684793555
28938,a,0.1955561081280457,0.3696969696969697
28938,h,0.2892407815163843,0.9758064516129032
28939,a,0.28147197899464255,0.8939393939393939
28939,h,0.2346968165179741,1.0
28940,a,0.2025123528795517,0.5444444444444444
28940,h,0.2543723523274929,0.8244197780020182
28941,a,0.31860752337520726,0.9283551967709385
28941,h,0.24160185311618945,1.0
28942,a,0.2115445607918387,0.829465186680121
28942,h,0.20687445391616519,0.9144008056394763
28943,a,0.26137521101048117,0.9989909182643795
28943,h,0.22252155484424263,0.5413306451612904
